date,repository,views_total,views_unique,clones_total,clones_unique
2026-06-13,datf/StdGEN,0,0,0,0
2026-06-14,datf/StdGEN,0,0,0,0
2026-06-15,datf/StdGEN,0,0,0,0
2026-06-16,datf/StdGEN,0,0,0,0
2026-06-17,datf/StdGEN,0,0,0,0
2026-06-18,datf/StdGEN,0,0,0,0
2026-06-19,datf/StdGEN,0,0,0,0
2026-06-20,datf/StdGEN,0,0,0,0
2026-06-21,datf/StdGEN,0,0,0,0
2026-06-03,datf/big-data-speed-test,0,0,1,1
2026-06-04,datf/big-data-speed-test,0,0,0,0
2026-06-05,datf/big-data-speed-test,0,0,0,0
2026-06-06,datf/big-data-speed-test,0,0,0,0
2026-06-07,datf/big-data-speed-test,0,0,0,0
2026-06-08,datf/big-data-speed-test,0,0,0,0
2026-06-09,datf/big-data-speed-test,0,0,0,0
2026-06-10,datf/big-data-speed-test,0,0,0,0
2026-06-11,datf/big-data-speed-test,0,0,0,0
2026-06-12,datf/big-data-speed-test,0,0,0,0
2026-06-13,datf/big-data-speed-test,0,0,0,0
2026-06-14,datf/big-data-speed-test,0,0,0,0
2026-06-15,datf/big-data-speed-test,0,0,0,0
2026-06-16,datf/big-data-speed-test,0,0,0,0
2026-06-17,datf/big-data-speed-test,0,0,0,0
2026-06-18,datf/big-data-speed-test,0,0,0,0
2026-06-19,datf/big-data-speed-test,0,0,0,0
2026-06-20,datf/big-data-speed-test,0,0,1,1
2026-06-21,datf/big-data-speed-test,0,0,0,0
2026-06-04,datf/calc-llc,0,0,32,15
2026-06-05,datf/calc-llc,0,0,62,24
2026-06-06,datf/calc-llc,0,0,9,6
2026-06-07,datf/calc-llc,4,4,68,27
2026-06-08,datf/calc-llc,0,0,68,23
2026-06-09,datf/calc-llc,0,0,17,10
2026-06-10,datf/calc-llc,0,0,22,13
2026-06-11,datf/calc-llc,0,0,54,24
2026-06-12,datf/calc-llc,0,0,3,3
2026-06-13,datf/calc-llc,0,0,16,4
2026-06-14,datf/calc-llc,0,0,27,8
2026-06-15,datf/calc-llc,0,0,96,31
2026-06-16,datf/calc-llc,0,0,43,17
2026-06-17,datf/calc-llc,0,0,29,15
2026-06-18,datf/calc-llc,0,0,9,6
2026-06-19,datf/calc-llc,0,0,63,21
2026-06-20,datf/calc-llc,0,0,45,13
2026-06-21,datf/calc-llc,0,0,51,12
2026-06-04,datf/client-cert-manager,0,0,0,0
2026-06-05,datf/client-cert-manager,0,0,0,0
2026-06-06,datf/client-cert-manager,0,0,0,0
2026-06-07,datf/client-cert-manager,0,0,1,1
2026-06-08,datf/client-cert-manager,0,0,0,0
2026-06-09,datf/client-cert-manager,0,0,0,0
2026-06-10,datf/client-cert-manager,0,0,0,0
2026-06-11,datf/client-cert-manager,0,0,0,0
2026-06-12,datf/client-cert-manager,0,0,0,0
2026-06-13,datf/client-cert-manager,0,0,0,0
2026-06-14,datf/client-cert-manager,0,0,0,0
2026-06-15,datf/client-cert-manager,0,0,0,0
2026-06-16,datf/client-cert-manager,0,0,0,0
2026-06-17,datf/client-cert-manager,0,0,0,0
2026-06-18,datf/client-cert-manager,0,0,1,1
2026-06-19,datf/client-cert-manager,0,0,1,1
2026-06-20,datf/client-cert-manager,0,0,1,1
2026-06-21,datf/client-cert-manager,0,0,0,0
2026-06-04,datf/copier-runner,0,0,0,0
2026-06-05,datf/copier-runner,0,0,0,0
2026-06-06,datf/copier-runner,0,0,0,0
2026-06-07,datf/copier-runner,0,0,0,0
2026-06-08,datf/copier-runner,0,0,0,0
2026-06-09,datf/copier-runner,0,0,0,0
2026-06-10,datf/copier-runner,0,0,0,0
2026-06-11,datf/copier-runner,0,0,0,0
2026-06-12,datf/copier-runner,0,0,0,0
2026-06-13,datf/copier-runner,0,0,0,0
2026-06-14,datf/copier-runner,0,0,55,33
2026-06-15,datf/copier-runner,0,0,3,3
2026-06-16,datf/copier-runner,0,0,31,16
2026-06-17,datf/copier-runner,0,0,2,2
2026-06-18,datf/copier-runner,0,0,2,2
2026-06-19,datf/copier-runner,0,0,0,0
2026-06-20,datf/copier-runner,0,0,2,1
2026-06-21,datf/copier-runner,0,0,2,2
2026-06-04,datf/copier-svelte-test,0,0,55,30
2026-06-05,datf/copier-svelte-test,0,0,53,33
2026-06-06,datf/copier-svelte-test,0,0,3,3
2026-06-07,datf/copier-svelte-test,0,0,19,6
2026-06-08,datf/copier-svelte-test,0,0,0,0
2026-06-09,datf/copier-svelte-test,0,0,2,1
2026-06-10,datf/copier-svelte-test,0,0,2,1
2026-06-11,datf/copier-svelte-test,0,0,2,1
2026-06-12,datf/copier-svelte-test,0,0,40,22
2026-06-13,datf/copier-svelte-test,0,0,4,3
2026-06-14,datf/copier-svelte-test,0,0,38,12
2026-06-15,datf/copier-svelte-test,0,0,12,5
2026-06-16,datf/copier-svelte-test,0,0,172,16
2026-06-17,datf/copier-svelte-test,0,0,3,2
2026-06-18,datf/copier-svelte-test,0,0,3,2
2026-06-19,datf/copier-svelte-test,0,0,4,3
2026-06-20,datf/copier-svelte-test,0,0,3,2
2026-06-21,datf/copier-svelte-test,0,0,4,3
2026-06-04,datf/datf,0,0,0,0
2026-06-05,datf/datf,0,0,1,1
2026-06-06,datf/datf,0,0,3,2
2026-06-07,datf/datf,0,0,1,1
2026-06-08,datf/datf,0,0,0,0
2026-06-09,datf/datf,0,0,1,1
2026-06-10,datf/datf,0,0,0,0
2026-06-11,datf/datf,0,0,0,0
2026-06-12,datf/datf,0,0,0,0
2026-06-13,datf/datf,0,0,0,0
2026-06-14,datf/datf,0,0,4,1
2026-06-15,datf/datf,0,0,0,0
2026-06-16,datf/datf,0,0,0,0
2026-06-17,datf/datf,0,0,1,1
2026-06-18,datf/datf,0,0,46,19
2026-06-19,datf/datf,0,0,22,13
2026-06-20,datf/datf,0,0,11,7
2026-06-21,datf/datf,0,0,15,10
2026-06-04,datf/dualnottouch,0,0,2,2
2026-06-05,datf/dualnottouch,0,0,0,0
2026-06-06,datf/dualnottouch,0,0,1,1
2026-06-07,datf/dualnottouch,0,0,2,2
2026-06-08,datf/dualnottouch,0,0,0,0
2026-06-09,datf/dualnottouch,0,0,1,1
2026-06-10,datf/dualnottouch,0,0,0,0
2026-06-11,datf/dualnottouch,0,0,0,0
2026-06-12,datf/dualnottouch,0,0,0,0
2026-06-13,datf/dualnottouch,0,0,0,0
2026-06-14,datf/dualnottouch,0,0,14,3
2026-06-15,datf/dualnottouch,0,0,0,0
2026-06-16,datf/dualnottouch,0,0,0,0
2026-06-17,datf/dualnottouch,0,0,2,2
2026-06-18,datf/dualnottouch,0,0,12,1
2026-06-19,datf/dualnottouch,0,0,0,0
2026-06-20,datf/dualnottouch,0,0,0,0
2026-06-21,datf/dualnottouch,0,0,1,1
2026-06-04,datf/gaeTestCode,0,0,1,1
2026-06-05,datf/gaeTestCode,0,0,0,0
2026-06-06,datf/gaeTestCode,0,0,0,0
2026-06-07,datf/gaeTestCode,0,0,0,0
2026-06-08,datf/gaeTestCode,0,0,0,0
2026-06-09,datf/gaeTestCode,0,0,0,0
2026-06-10,datf/gaeTestCode,0,0,0,0
2026-06-11,datf/gaeTestCode,0,0,0,0
2026-06-12,datf/gaeTestCode,0,0,0,0
2026-06-13,datf/gaeTestCode,0,0,0,0
2026-06-14,datf/gaeTestCode,0,0,1,1
2026-06-15,datf/gaeTestCode,0,0,0,0
2026-06-16,datf/gaeTestCode,0,0,0,0
2026-06-17,datf/gaeTestCode,0,0,0,0
2026-06-18,datf/gaeTestCode,0,0,0,0
2026-06-19,datf/gaeTestCode,0,0,0,0
2026-06-20,datf/gaeTestCode,0,0,0,0
2026-06-21,datf/gaeTestCode,0,0,0,0
2026-06-04,datf/inputattach,0,0,1,1
2026-06-05,datf/inputattach,0,0,0,0
2026-06-06,datf/inputattach,0,0,1,1
2026-06-07,datf/inputattach,0,0,2,2
2026-06-08,datf/inputattach,0,0,0,0
2026-06-09,datf/inputattach,0,0,0,0
2026-06-10,datf/inputattach,0,0,0,0
2026-06-11,datf/inputattach,0,0,0,0
2026-06-12,datf/inputattach,0,0,0,0
2026-06-13,datf/inputattach,0,0,0,0
2026-06-14,datf/inputattach,0,0,22,2
2026-06-15,datf/inputattach,0,0,0,0
2026-06-16,datf/inputattach,0,0,1,1
2026-06-17,datf/inputattach,0,0,0,0
2026-06-18,datf/inputattach,0,0,23,3
2026-06-19,datf/inputattach,0,0,2,2
2026-06-20,datf/inputattach,0,0,0,0
2026-06-21,datf/inputattach,0,0,1,1
2026-06-01,datf/notion-py,0,0,1,1
2026-06-02,datf/notion-py,0,0,0,0
2026-06-03,datf/notion-py,0,0,0,0
2026-06-04,datf/notion-py,0,0,0,0
2026-06-05,datf/notion-py,0,0,0,0
2026-06-06,datf/notion-py,0,0,0,0
2026-06-07,datf/notion-py,0,0,0,0
2026-06-08,datf/notion-py,0,0,0,0
2026-06-09,datf/notion-py,0,0,0,0
2026-06-10,datf/notion-py,0,0,0,0
2026-06-11,datf/notion-py,0,0,0,0
2026-06-12,datf/notion-py,0,0,0,0
2026-06-13,datf/notion-py,0,0,0,0
2026-06-14,datf/notion-py,0,0,0,0
2026-06-15,datf/notion-py,0,0,0,0
2026-06-16,datf/notion-py,0,0,0,0
2026-06-17,datf/notion-py,0,0,0,0
2026-06-18,datf/notion-py,0,0,1,1
2026-06-19,datf/notion-py,0,0,0,0
2026-06-20,datf/notion-py,0,0,0,0
2026-06-21,datf/notion-py,0,0,0,0
2026-06-04,datf/pat,0,0,1,1
2026-06-05,datf/pat,0,0,0,0
2026-06-06,datf/pat,0,0,1,1
2026-06-07,datf/pat,0,0,1,1
2026-06-08,datf/pat,0,0,1,1
2026-06-09,datf/pat,0,0,0,0
2026-06-10,datf/pat,0,0,0,0
2026-06-11,datf/pat,0,0,0,0
2026-06-12,datf/pat,0,0,0,0
2026-06-13,datf/pat,0,0,0,0
2026-06-14,datf/pat,0,0,124,4
2026-06-15,datf/pat,0,0,0,0
2026-06-16,datf/pat,0,0,0,0
2026-06-17,datf/pat,0,0,1,1
2026-06-18,datf/pat,0,0,0,0
2026-06-19,datf/pat,0,0,0,0
2026-06-20,datf/pat,0,0,0,0
2026-06-21,datf/pat,0,0,1,1
2026-06-04,datf/pat0,0,0,0,0
2026-06-05,datf/pat0,0,0,1,1
2026-06-06,datf/pat0,0,0,1,1
2026-06-07,datf/pat0,0,0,2,2
2026-06-08,datf/pat0,0,0,1,1
2026-06-09,datf/pat0,0,0,0,0
2026-06-10,datf/pat0,0,0,0,0
2026-06-11,datf/pat0,0,0,0,0
2026-06-12,datf/pat0,0,0,0,0
2026-06-13,datf/pat0,0,0,1,1
2026-06-14,datf/pat0,0,0,0,0
2026-06-15,datf/pat0,0,0,0,0
2026-06-16,datf/pat0,0,0,0,0
2026-06-17,datf/pat0,0,0,1,1
2026-06-18,datf/pat0,0,0,0,0
2026-06-19,datf/pat0,0,0,0,0
2026-06-20,datf/pat0,0,0,0,0
2026-06-21,datf/pat0,0,0,1,1
2026-06-04,datf/svelte-GitHubPages-template,0,0,0,0
2026-06-05,datf/svelte-GitHubPages-template,0,0,0,0
2026-06-06,datf/svelte-GitHubPages-template,0,0,0,0
2026-06-07,datf/svelte-GitHubPages-template,0,0,0,0
2026-06-08,datf/svelte-GitHubPages-template,0,0,0,0
2026-06-09,datf/svelte-GitHubPages-template,0,0,42,26
2026-06-10,datf/svelte-GitHubPages-template,0,0,7,6
2026-06-11,datf/svelte-GitHubPages-template,0,0,6,3
2026-06-12,datf/svelte-GitHubPages-template,0,0,19,7
2026-06-13,datf/svelte-GitHubPages-template,0,0,6,5
2026-06-14,datf/svelte-GitHubPages-template,0,0,7,5
2026-06-15,datf/svelte-GitHubPages-template,0,0,3,2
2026-06-16,datf/svelte-GitHubPages-template,0,0,3,2
2026-06-17,datf/svelte-GitHubPages-template,0,0,3,2
2026-06-18,datf/svelte-GitHubPages-template,0,0,3,2
2026-06-19,datf/svelte-GitHubPages-template,0,0,4,3
2026-06-20,datf/svelte-GitHubPages-template,0,0,3,2
2026-06-21,datf/svelte-GitHubPages-template,0,0,3,2
2026-06-04,datf/svelte-agents-template,0,0,0,0
2026-06-05,datf/svelte-agents-template,0,0,0,0
2026-06-06,datf/svelte-agents-template,0,0,0,0
2026-06-07,datf/svelte-agents-template,0,0,0,0
2026-06-08,datf/svelte-agents-template,0,0,0,0
2026-06-09,datf/svelte-agents-template,0,0,0,0
2026-06-10,datf/svelte-agents-template,0,0,0,0
2026-06-11,datf/svelte-agents-template,0,0,0,0
2026-06-12,datf/svelte-agents-template,0,0,0,0
2026-06-13,datf/svelte-agents-template,0,0,0,0
2026-06-14,datf/svelte-agents-template,0,0,0,0
2026-06-15,datf/svelte-agents-template,0,0,0,0
2026-06-16,datf/svelte-agents-template,0,0,5,5
2026-06-17,datf/svelte-agents-template,0,0,1,1
2026-06-18,datf/svelte-agents-template,0,0,1,1
2026-06-19,datf/svelte-agents-template,0,0,0,0
2026-06-20,datf/svelte-agents-template,0,0,0,0
2026-06-21,datf/svelte-agents-template,0,0,0,0
2026-06-04,datf/svelte-static-page,0,0,1,1
2026-06-05,datf/svelte-static-page,0,0,0,0
2026-06-06,datf/svelte-static-page,0,0,1,1
2026-06-07,datf/svelte-static-page,0,0,1,1
2026-06-08,datf/svelte-static-page,0,0,0,0
2026-06-09,datf/svelte-static-page,0,0,1,1
2026-06-10,datf/svelte-static-page,0,0,0,0
2026-06-11,datf/svelte-static-page,0,0,0,0
2026-06-12,datf/svelte-static-page,0,0,0,0
2026-06-13,datf/svelte-static-page,0,0,0,0
2026-06-14,datf/svelte-static-page,0,0,0,0
2026-06-15,datf/svelte-static-page,0,0,0,0
2026-06-16,datf/svelte-static-page,0,0,1,1
2026-06-17,datf/svelte-static-page,0,0,0,0
2026-06-18,datf/svelte-static-page,0,0,1,1
2026-06-19,datf/svelte-static-page,0,0,1,1
2026-06-20,datf/svelte-static-page,0,0,3,2
2026-06-21,datf/svelte-static-page,0,0,11,5
2026-06-04,datf/sveltekit-github-pages-config-dockerized,0,0,42,25
2026-06-05,datf/sveltekit-github-pages-config-dockerized,0,0,3,3
2026-06-06,datf/sveltekit-github-pages-config-dockerized,0,0,15,5
2026-06-07,datf/sveltekit-github-pages-config-dockerized,0,0,4,1
2026-06-08,datf/sveltekit-github-pages-config-dockerized,0,0,1,1
2026-06-09,datf/sveltekit-github-pages-config-dockerized,0,0,0,0
2026-06-10,datf/sveltekit-github-pages-config-dockerized,0,0,0,0
2026-06-11,datf/sveltekit-github-pages-config-dockerized,0,0,19,11
2026-06-12,datf/sveltekit-github-pages-config-dockerized,0,0,2,2
2026-06-13,datf/sveltekit-github-pages-config-dockerized,0,0,1,1
2026-06-14,datf/sveltekit-github-pages-config-dockerized,0,0,18,4
2026-06-15,datf/sveltekit-github-pages-config-dockerized,0,0,0,0
2026-06-16,datf/sveltekit-github-pages-config-dockerized,0,0,14,2
2026-06-17,datf/sveltekit-github-pages-config-dockerized,0,0,1,1
2026-06-18,datf/sveltekit-github-pages-config-dockerized,0,0,0,0
2026-06-19,datf/sveltekit-github-pages-config-dockerized,0,0,0,0
2026-06-20,datf/sveltekit-github-pages-config-dockerized,0,0,1,1
2026-06-21,datf/sveltekit-github-pages-config-dockerized,0,0,2,2
2026-06-04,datf/svgmarquee,0,0,4,3
2026-06-05,datf/svgmarquee,0,0,0,0
2026-06-06,datf/svgmarquee,0,0,1,1
2026-06-07,datf/svgmarquee,3,3,1,1
2026-06-08,datf/svgmarquee,0,0,1,1
2026-06-09,datf/svgmarquee,0,0,0,0
2026-06-10,datf/svgmarquee,0,0,0,0
2026-06-11,datf/svgmarquee,0,0,2,1
2026-06-12,datf/svgmarquee,0,0,0,0
2026-06-13,datf/svgmarquee,0,0,0,0
2026-06-14,datf/svgmarquee,0,0,0,0
2026-06-15,datf/svgmarquee,0,0,1,1
